"","ensembl_gene_id","hgnc_symbol"
"612","ENSG00000207513","RNU1-3"
"613","ENSG00000280114",""
"614","ENSG00000236698","EIF1AXP1"
"615","ENSG00000268869","ESPNP"
"616","ENSG00000279151",""
"617","ENSG00000282740",""
"618","ENSG00000058453","CROCC"
"619","ENSG00000227684","CROCCP4"
"620","ENSG00000207389","RNU1-4"
"621","ENSG00000186715","MST1L"
"622","ENSG00000223643",""
"623","ENSG00000230239",""
"624","ENSG00000263811","MIR3675"
"625","ENSG00000228549",""
"626","ENSG00000277234","RNU1-5P"
"627","ENSG00000238142",""
"628","ENSG00000235241",""
"629","ENSG00000207005","RNU1-2"
"630","ENSG00000272426",""
"631","ENSG00000117122","MFAP2"
"632","ENSG00000286898",""
"633","ENSG00000226526",""
"634","ENSG00000159363","ATP13A2"
"635","ENSG00000288636",""
"636","ENSG00000117118","SDHB"
"637","ENSG00000117115","PADI2"
"638","ENSG00000204362","LINC02783"
"639","ENSG00000282843",""
"640","ENSG00000142623","PADI1"
"641","ENSG00000142619","PADI3"
"642","ENSG00000266634","MIR3972"
"643","ENSG00000159339","PADI4"
"644","ENSG00000276747","PADI6"
"645","ENSG00000179051","RCC2"
"646","ENSG00000227751","RCC2-AS1"
"647","ENSG00000074964","ARHGEF10L"
"648","ENSG00000236648","LINC02810"
"649","ENSG00000117148","ACTL8"
"650","ENSG00000284653",""
"651","ENSG00000261781","LINC01654"
"652","ENSG00000117154","IGSF21"
"653","ENSG00000280222",""
"654","ENSG00000230035","IGSF21-AS1"
"655","ENSG00000225387",""
"656","ENSG00000179023","KLHDC7A"
"657","ENSG00000235282","DYNLL1P3"
"658","ENSG00000225478",""
"659","ENSG00000009709","PAX7"
"660","ENSG00000179002","TAS1R2"
"661","ENSG00000159423","ALDH4A1"
"662","ENSG00000265606","MIR4695"
"663","ENSG00000221662","MIR1290"
"664","ENSG00000169991","IFFO2"
"665","ENSG00000272084",""
"666","ENSG00000127481","UBR4"
"667","ENSG00000230424","EMC1-AS1"
"668","ENSG00000127463","EMC1"
"669","ENSG00000211454","AKR7L"
"670","ENSG00000053372","MRTO4"
"671","ENSG00000286064",""
"672","ENSG00000162482","AKR7A3"
"673","ENSG00000270728",""
"674","ENSG00000053371","AKR7A2"
"675","ENSG00000200403","RNU6-1099P"
"676","ENSG00000040487","SLC66A1"
"677","ENSG00000077549","CAPZB"
"678","ENSG00000240490","RN7SL277P"
"679","ENSG00000173436","MICOS10"
"680","ENSG00000201609","RNU4-28P"
"681","ENSG00000235185",""
"682","ENSG00000158747","NBL1"
"683","ENSG00000270136","MICOS10-NBL1"
"684","ENSG00000226396",""
"685","ENSG00000158748","HTR6"
"686","ENSG00000162542","TMCO4"
