"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*H441_SUB -1*SALI"
"ENSG00000101546","RBFA",-0.136216329176243,5.18739532694248,0.322635891691798,0.570027860007232,0.78991309263803,0
"ENSG00000101911","PRPS2",0.272019055914074,5.3160079045678,0.322538952895954,0.57008580754727,0.78991309263803,0
"ENSG00000113231","PDE8B",0.211605574022221,2.30248465909337,0.322688431760763,0.569996457705151,0.78991309263803,0
"ENSG00000122643","NT5C3A",0.153667881816593,4.66993708655518,0.323016507895334,0.569800448646418,0.78991309263803,0
"ENSG00000140682","TGFB1I1",-0.217379986686883,2.1604202680584,0.323667749349461,0.569411754344269,0.78991309263803,0
"ENSG00000143217","NECTIN4",0.104032099842111,6.44070329802928,0.32300887112403,0.569805009737498,0.78991309263803,0
"ENSG00000143977","SNRPG",0.165235001494699,5.81752951352688,0.323626777520886,0.569436193169923,0.78991309263803,0
"ENSG00000159840","ZYX",0.141100985066665,8.03096408621505,0.324164566935728,0.569115576028024,0.78991309263803,0
"ENSG00000166167","BTRC",-0.145571908761181,4.41656863614981,0.322785627631241,0.569938374305676,0.78991309263803,0
"ENSG00000167644","C19orf33",0.226644655049303,1.5649946646584,0.324446367862988,0.568947713668352,0.78991309263803,0
"ENSG00000182362","YBEY",-0.159593046543987,4.67666784954114,0.323377695772216,0.569584809221883,0.78991309263803,0
"ENSG00000184708","EIF4ENIF1",-0.113464234715658,5.27523682754797,0.324354222730902,0.569002591787035,0.78991309263803,0
"ENSG00000186222","BLOC1S4",-0.157515803768961,4.96428201819903,0.323314648665665,0.569622438651496,0.78991309263803,0
"ENSG00000198890","PRMT6",0.256380991465937,3.04120039665246,0.323905205226637,0.569270157261992,0.78991309263803,0
"ENSG00000215447",NA,0.26047992466772,4.87483569082614,0.323554768766908,0.56947914982477,0.78991309263803,0
"ENSG00000225131","PSME2P2",-0.302328141977553,0.606963678553682,0.32312915339665,0.569733178971677,0.78991309263803,0
"ENSG00000231616","",-0.370895770956711,0.650379398291485,0.323938152216861,0.569250516103191,0.78991309263803,0
"ENSG00000231795","ITCH-IT1",0.420265753054139,0.563309389010251,0.322981794876391,0.56982118170554,0.78991309263803,0
"ENSG00000243317","STMP1",-0.133732516601741,6.00889001199964,0.322575930518461,0.570063701908997,0.78991309263803,0
