"","ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*KO_SALI -1*SALI"
"1334","ENSG00000099875","MKNK2",-0.253500985265207,9.18531129988738,0.692192629791663,0.405419585887037,0.997540545774586,0
"1337","ENSG00000099917","MED15",-0.0656681801156724,7.89291621181793,0.0900873813562058,0.764066097716852,0.997540545774586,0
"1338","ENSG00000099940","SNAP29",-0.127735899559365,5.48317584268073,0.342999504776255,0.558102946745945,0.997540545774586,0
"1339","ENSG00000099942","CRKL",-0.10404392604336,6.63551297246981,0.0986634346451183,0.75343949850687,0.997540545774586,0
"1342","ENSG00000099958","DERL3",0.188722616251538,3.94662874219449,0.396294208850192,0.529009314342622,0.997540545774586,0
"1343","ENSG00000099974","DDTL",0.26404273169739,3.11668169562397,0.647638893408656,0.420958103721507,0.997540545774586,0
"1345","ENSG00000099992","TBC1D10A",0.137885098071534,5.48713789468659,0.210105902219368,0.646684411606413,0.997540545774586,0
"1347","ENSG00000099995","SF3A1",-0.22877338452455,6.93857396900183,0.314720302400087,0.574797961035355,0.997540545774586,0
"1351","ENSG00000100028","SNRPD3",-0.0560525369171307,7.07284298135233,0.0672701446184831,0.795353719043125,0.997540545774586,0
"1353","ENSG00000100031","GGT1",0.145065579668733,5.99858273311599,0.410417622903577,0.521757612560783,0.997540545774586,0
"1355","ENSG00000100036","SLC35E4",-0.167802468411973,2.92213654559448,0.281410449218104,0.595778245161133,0.997540545774586,0
"1357","ENSG00000100053","CRYBB3",0.369908862603277,0.728312732466589,0.325399355232417,0.568380755366357,0.997540545774586,0
"1358","ENSG00000100056","ESS2",-0.046078657199889,5.75719405097138,0.0398281837031114,0.841816894634839,0.997540545774586,0
"1359","ENSG00000100058","CRYBB2P1",0.164883669111226,5.08917385528501,0.490688596331719,0.483620298114752,0.997540545774586,0
"1361","ENSG00000100065","CARD10",-0.223562147300133,4.90113417940438,0.667400704064207,0.413959310321244,0.997540545774586,0
"1363","ENSG00000100083","GGA1",0.114012162275109,7.85472103069176,0.138860077082683,0.709416889867186,0.997540545774586,0
"1364","ENSG00000100084","HIRA",-0.0842548040179959,5.19082417622811,0.152408384165856,0.696244363223453,0.997540545774586,0
"1365","ENSG00000100092","SH3BP1",-0.0806664024949288,4.6413107325847,0.0788474772519656,0.778865391726068,0.997540545774586,0
"1368","ENSG00000100104","SRRD",0.165652964552376,4.03865146891189,0.30891665622975,0.578345730382819,0.997540545774586,0
"1369","ENSG00000100105","PATZ1",0.148908172165444,6.54126009840703,0.49005845546484,0.483901229963656,0.997540545774586,0
"1371","ENSG00000100116","GCAT",0.171800590367898,7.27348761048146,0.212820549353189,0.644565611656456,0.997540545774586,0
"1372","ENSG00000100124","ANKRD54",0.147119900150497,6.20785134701704,0.361851818579572,0.547479577332253,0.997540545774586,0
"1374","ENSG00000100138","SNU13",-0.154262733815236,7.93824146004115,0.467659403566408,0.494065927561321,0.997540545774586,0
"1378","ENSG00000100151","PICK1",0.0873398216135544,7.07193907062911,0.0833099900233307,0.772860938396086,0.997540545774586,0
"1380","ENSG00000100162","CENPM",-0.238697551369588,4.9493699941892,0.530677534811794,0.466322149022635,0.997540545774586,0
"1384","ENSG00000100201","DDX17",0.13880353593488,9.59713405080455,0.267784408845671,0.604821896571755,0.997540545774586,0
"1389","ENSG00000100216","TOMM22",-0.21146752187684,6.07577758755246,0.541767876797312,0.461700983115094,0.997540545774586,0
"1390","ENSG00000100219","XBP1",-0.325364357547231,8.90086828112704,0.752467553523303,0.385696111512027,0.997540545774586,0
"1391","ENSG00000100220","RTCB",-0.245576691373098,6.69126417676333,0.615705245715553,0.432647735393983,0.997540545774586,0
"1392","ENSG00000100221","JOSD1",-0.136451456596985,6.7489667114402,0.358260089791731,0.54947412848512,0.997540545774586,0
"1393","ENSG00000100226","GTPBP1",-0.247092615157309,5.10997279052595,0.400565238476467,0.526797488511187,0.997540545774586,0
"1395","ENSG00000100228","RAB36",0.380492853619243,0.481376721380317,0.339032915072696,0.560387974240698,0.997540545774586,0
"1398","ENSG00000100242","SUN2",-0.057462828288959,7.01169676915259,0.0542319240945233,0.815856540399262,0.997540545774586,0
"1399","ENSG00000100243","CYB5R3",-0.15633567460059,7.14875191509033,0.179892872962469,0.671465319980776,0.997540545774586,0
"1400","ENSG00000100258","LMF2",-0.110293620287288,8.01042289678652,0.169864220185744,0.68023250767977,0.997540545774586,0
"1401","ENSG00000100263","RHBDD3",0.123320030827817,5.78846845495908,0.14997448615032,0.69855974144049,0.997540545774586,0
"1402","ENSG00000100271","TTLL1",-0.133840032244312,3.6232239896362,0.178462627656373,0.672697776426213,0.997540545774586,0
"1403","ENSG00000100276","RASL10A",0.329883341475183,1.2740467598252,0.305925749470951,0.580191136490264,0.997540545774586,0
"1405","ENSG00000100281","HMGXB4",0.268493893382888,7.554711397821,0.601337683011273,0.438068094105022,0.997540545774586,0
"1406","ENSG00000100284","TOM1",0.0721973322821486,7.34179336788003,0.0475266132895094,0.827424441444466,0.997540545774586,0
"1407","ENSG00000100288","CHKB",0.340759651872126,2.71874461587316,0.554985702535053,0.456287664282294,0.997540545774586,0
"1409","ENSG00000100292","HMOX1",-0.129195470988171,4.89514309203995,0.207835086025923,0.648469558861897,0.997540545774586,0
"1410","ENSG00000100294","MCAT",-0.111314228925914,4.98213960189701,0.131089180222979,0.71730540191496,0.997540545774586,0
"1411","ENSG00000100296","THOC5",-0.106308107678877,6.07553828193867,0.236540651315615,0.626715879723128,0.997540545774586,0
"1412","ENSG00000100297","MCM5",-0.154395880546341,6.62099175358099,0.297550945438886,0.585421847086498,0.997540545774586,0
"1413","ENSG00000100300","TSPO",-0.177550673275786,7.50718674359883,0.329345198672669,0.566044913427404,0.997540545774586,0
"1416","ENSG00000100307","CBX7",0.118409066863851,5.92214612008047,0.283291061910582,0.59455220697911,0.997540545774586,0
"1417","ENSG00000100311","PDGFB",0.173966142739939,5.71844539628883,0.262624005899276,0.608323131733603,0.997540545774586,0
"1419","ENSG00000100320","RBFOX2",0.0421655153666594,7.15734604403097,0.0285809615111319,0.865750196630469,0.997540545774586,0
"1420","ENSG00000100324","TAB1",-0.149307339080243,6.1359290426395,0.574972529596761,0.448289703715929,0.997540545774586,0
"1421","ENSG00000100325","ASCC2",0.0431866597510771,7.35801173999124,0.0339358102317817,0.853843421343627,0.997540545774586,0
